file,true_label,predicted
chunk_100.wav.wav,1,0
chunk_101.wav.wav,1,0
chunk_103.wav.wav,1,0
chunk_106.wav.wav,1,0
chunk_107.wav.wav,1,0
chunk_108.wav.wav,1,0
chunk_109.wav.wav,1,0
chunk_111.wav.wav,1,0
chunk_112.wav.wav,1,0
chunk_114.wav.wav,1,0
chunk_115.wav.wav,1,0
chunk_117.wav.wav,1,0
chunk_119.wav.wav,1,0
chunk_12.wav.wav,1,0
chunk_120.wav.wav,1,0
chunk_122.wav.wav,1,0
chunk_124.wav.wav,1,0
chunk_125.wav.wav,1,0
chunk_126.wav.wav,1,0
chunk_129.wav.wav,1,0
chunk_130.wav.wav,1,0
chunk_133.wav.wav,1,0
chunk_135.wav.wav,1,0
chunk_137.wav.wav,1,0
chunk_139.wav.wav,1,0
chunk_140.wav.wav,1,0
chunk_142.wav.wav,1,0
chunk_144.wav.wav,1,0
chunk_145.wav.wav,1,0
chunk_147.wav.wav,1,0
chunk_150.wav.wav,1,0
chunk_153.wav.wav,1,0
chunk_154.wav.wav,1,0
chunk_155.wav.wav,1,0
chunk_156.wav.wav,1,0
chunk_160.wav.wav,1,0
chunk_163.wav.wav,1,0
chunk_164.wav.wav,1,0
chunk_165.wav.wav,1,0
chunk_167.wav.wav,1,0
chunk_169.wav.wav,1,1
chunk_17.wav.wav,1,0
chunk_171.wav.wav,1,1
chunk_172.wav.wav,1,1
chunk_173.wav.wav,1,0
chunk_174.wav.wav,1,0
chunk_177.wav.wav,1,0
chunk_178.wav.wav,1,0
chunk_180.wav.wav,1,0
chunk_182.wav.wav,1,0
chunk_185.wav.wav,1,0
chunk_186.wav.wav,1,0
chunk_189.wav.wav,1,0
chunk_19.wav.wav,1,0
chunk_190.wav.wav,1,0
chunk_191.wav.wav,1,0
chunk_192.wav.wav,1,0
chunk_194.wav.wav,1,0
chunk_198.wav.wav,1,0
chunk_20.wav.wav,1,0
chunk_200.wav.wav,1,0
chunk_201.wav.wav,1,0
chunk_202.wav.wav,1,0
chunk_203.wav.wav,1,0
chunk_206.wav.wav,1,0
chunk_208.wav.wav,1,0
chunk_209.wav.wav,1,0
chunk_210.wav.wav,1,0
chunk_211.wav.wav,1,0
chunk_213.wav.wav,1,0
chunk_214.wav.wav,1,0
chunk_216.wav.wav,1,0
chunk_218.wav.wav,1,0
chunk_220.wav.wav,1,0
chunk_222.wav.wav,1,0
chunk_223.wav.wav,1,0
chunk_225.wav.wav,1,0
chunk_226.wav.wav,1,0
chunk_228.wav.wav,1,0
chunk_23.wav.wav,1,0
chunk_231.wav.wav,1,0
chunk_233.wav.wav,1,0
chunk_236.wav.wav,1,0
chunk_237.wav.wav,1,0
chunk_240.wav.wav,1,0
chunk_245.wav.wav,1,0
chunk_246.wav.wav,1,1
chunk_247.wav.wav,1,0
chunk_248.wav.wav,1,0
chunk_250.wav.wav,1,0
chunk_251.wav.wav,1,0
chunk_252.wav.wav,1,0
chunk_253.wav.wav,1,0
chunk_255.wav.wav,1,0
chunk_258.wav.wav,1,0
chunk_260.wav.wav,1,0
chunk_261.wav.wav,1,0
chunk_262.wav.wav,1,0
chunk_263.wav.wav,1,0
chunk_264.wav.wav,1,0
chunk_267.wav.wav,1,0
chunk_268.wav.wav,1,0
chunk_269.wav.wav,1,0
chunk_27.wav.wav,1,0
chunk_270.wav.wav,1,0
chunk_273.wav.wav,1,0
chunk_274.wav.wav,1,0
chunk_276.wav.wav,1,0
chunk_277.wav.wav,1,0
chunk_28.wav.wav,1,1
chunk_281.wav.wav,1,0
chunk_282.wav.wav,1,0
chunk_284.wav.wav,1,0
chunk_285.wav.wav,1,0
chunk_287.wav.wav,1,0
chunk_288.wav.wav,1,0
chunk_289.wav.wav,1,0
chunk_290.wav.wav,1,0
chunk_292.wav.wav,1,0
chunk_293.wav.wav,1,0
chunk_298.wav.wav,1,0
chunk_299.wav.wav,1,0
chunk_30.wav.wav,1,0
chunk_301.wav.wav,1,0
chunk_305.wav.wav,1,0
chunk_307.wav.wav,1,0
chunk_310.wav.wav,1,0
chunk_311.wav.wav,1,0
chunk_312.wav.wav,1,0
chunk_315.wav.wav,1,0
chunk_316.wav.wav,1,0
chunk_319.wav.wav,1,0
chunk_32.wav.wav,1,0
chunk_322.wav.wav,1,0
chunk_329.wav.wav,1,0
chunk_33.wav.wav,1,0
chunk_333.wav.wav,1,0
chunk_335.wav.wav,1,0
chunk_337.wav.wav,1,0
chunk_339.wav.wav,1,0
chunk_340.wav.wav,1,0
chunk_341.wav.wav,1,0
chunk_343.wav.wav,1,0
chunk_344.wav.wav,1,0
chunk_345.wav.wav,1,0
chunk_348.wav.wav,1,0
chunk_349.wav.wav,1,1
chunk_350.wav.wav,1,0
chunk_352.wav.wav,1,0
chunk_353.wav.wav,1,0
chunk_354.wav.wav,1,0
chunk_355.wav.wav,1,0
chunk_356.wav.wav,1,0
chunk_357.wav.wav,1,0
chunk_358.wav.wav,1,0
chunk_360.wav.wav,1,0
chunk_361.wav.wav,1,0
chunk_362.wav.wav,1,0
chunk_363.wav.wav,1,1
chunk_364.wav.wav,1,0
chunk_367.wav.wav,1,0
chunk_368.wav.wav,1,0
chunk_371.wav.wav,1,0
chunk_373.wav.wav,1,0
chunk_375.wav.wav,1,0
chunk_377.wav.wav,1,1
chunk_378.wav.wav,1,0
chunk_38.wav.wav,1,0
chunk_381.wav.wav,1,1
chunk_383.wav.wav,1,0
chunk_385.wav.wav,1,0
chunk_387.wav.wav,1,1
chunk_388.wav.wav,1,0
chunk_39.wav.wav,1,0
chunk_390.wav.wav,1,0
chunk_391.wav.wav,1,0
chunk_393.wav.wav,1,0
chunk_394.wav.wav,1,0
chunk_395.wav.wav,1,0
chunk_397.wav.wav,1,0
chunk_4.wav.wav,1,0
chunk_402.wav.wav,1,0
chunk_406.wav.wav,1,0
chunk_407.wav.wav,1,0
chunk_408.wav.wav,1,0
chunk_409.wav.wav,1,0
chunk_41.wav.wav,1,0
chunk_410.wav.wav,1,0
chunk_411.wav.wav,1,0
chunk_412.wav.wav,1,0
chunk_413.wav.wav,1,0
chunk_414.wav.wav,1,0
chunk_415.wav.wav,1,0
chunk_417.wav.wav,1,0
chunk_418.wav.wav,1,0
chunk_419.wav.wav,1,0
chunk_42.wav.wav,1,0
chunk_420.wav.wav,1,0
chunk_421.wav.wav,1,0
chunk_424.wav.wav,1,0
chunk_425.wav.wav,1,0
chunk_426.wav.wav,1,0
chunk_428.wav.wav,1,0
chunk_429.wav.wav,1,0
chunk_430.wav.wav,1,0
chunk_432.wav.wav,1,0
chunk_433.wav.wav,1,0
chunk_435.wav.wav,1,0
chunk_436.wav.wav,1,1
chunk_437.wav.wav,1,0
chunk_438.wav.wav,1,1
chunk_439.wav.wav,1,0
chunk_440.wav.wav,1,0
chunk_441.wav.wav,1,0
chunk_442.wav.wav,1,0
chunk_444.wav.wav,1,0
chunk_445.wav.wav,1,0
chunk_446.wav.wav,1,0
chunk_447.wav.wav,1,0
chunk_448.wav.wav,1,0
chunk_45.wav.wav,1,0
chunk_450.wav.wav,1,0
chunk_451.wav.wav,1,0
chunk_452.wav.wav,1,0
chunk_453.wav.wav,1,0
chunk_455.wav.wav,1,0
chunk_457.wav.wav,1,0
chunk_458.wav.wav,1,0
chunk_459.wav.wav,1,0
chunk_46.wav.wav,1,0
chunk_460.wav.wav,1,0
chunk_464.wav.wav,1,0
chunk_465.wav.wav,1,0
chunk_469.wav.wav,1,0
chunk_471.wav.wav,1,0
chunk_473.wav.wav,1,0
chunk_474.wav.wav,1,0
chunk_476.wav.wav,1,0
chunk_477.wav.wav,1,0
chunk_479.wav.wav,1,1
chunk_48.wav.wav,1,0
chunk_480.wav.wav,1,1
chunk_482.wav.wav,1,0
chunk_484.wav.wav,1,0
chunk_50.wav.wav,1,0
chunk_51.wav.wav,1,0
chunk_55.wav.wav,1,0
chunk_57.wav.wav,1,0
chunk_59.wav.wav,1,0
chunk_60.wav.wav,1,0
chunk_61.wav.wav,1,0
chunk_64.wav.wav,1,0
chunk_65.wav.wav,1,0
chunk_67.wav.wav,1,0
chunk_68.wav.wav,1,0
chunk_69.wav.wav,1,0
chunk_7.wav.wav,1,0
chunk_71.wav.wav,1,0
chunk_72.wav.wav,1,0
chunk_73.wav.wav,1,0
chunk_74.wav.wav,1,0
chunk_78.wav.wav,1,0
chunk_79.wav.wav,1,0
chunk_82.wav.wav,1,0
chunk_86.wav.wav,1,0
chunk_87.wav.wav,1,0
chunk_88.wav.wav,1,0
chunk_89.wav.wav,1,0
chunk_91.wav.wav,1,0
chunk_92.wav.wav,1,0
chunk_93.wav.wav,1,0
chunk_94.wav.wav,1,0
chunk_97.wav.wav,1,0
chunk_99.wav.wav,1,0
